USD_SGD_1.csvPrice,Tstamp,Tstamp_relative,Tstep,Is_VCD
1.7153,656118000,69728400,807,0
1.7058,656204400,69814800,808,0
1.7095,656290800,69901200,809,0
1.7083,656550000,70160400,812,0
1.7115,656636400,70246800,813,0
1.7072,656722800,70333200,814,0
1.706,656809200,70419600,815,0
1.7146,656895600,70506000,816,0
1.7075,657154800,70765200,819,0
1.708,657241200,70851600,820,0
1.7063,657327600,70938000,821,0
1.7072,657414000,71024400,822,0
1.7063,657500400,71110800,823,0
1.699,657759600,71370000,826,0
1.704,657846000,71456400,827,0
1.701,657932400,71542800,828,0
1.7071,658018800,71629200,829,0
1.7083,658105200,71715600,830,0
1.7092,658364400,71974800,833,0
1.7112,658450800,72061200,834,0
1.7127,658537200,72147600,835,0
1.713,658623600,72234000,836,0
1.7085,658710000,72320400,837,0
1.7107,658969200,72579600,840,0
1.7095,659055600,72666000,841,0
1.7107,659142000,72752400,842,0
1.711,659228400,72838800,843,0
1.7075,659314800,72925200,844,0
1.7087,659574000,73184400,847,0
1.7052,659660400,73270800,848,0
1.7077,659746800,73357200,849,0
1.7125,659833200,73443600,850,0
1.723,659919600,73530000,851,0
1.7228,660178800,73789200,854,0
1.7188,660265200,73875600,855,0
1.7187,660351600,73962000,856,0
1.7179,660438000,74048400,857,0
1.7136,660524400,74134800,858,0
1.7102,660783600,74394000,861,0
1.713,660870000,74480400,862,0
1.7138,660956400,74566800,863,0
1.7117,661042800,74653200,864,0
1.7138,661129200,74739600,865,0
1.7187,661388400,74998800,868,0
1.7232,661474800,75085200,869,0
1.7234,661561200,75171600,870,0
1.734,661647600,75258000,871,0
1.7425,661734000,75344400,872,0
1.744,661993200,75603600,875,0
1.744,662079600,75690000,876,0
1.7505,662166000,75776400,877,0
1.7535,662252400,75862800,878,0
1.742,662338800,75949200,879,0
1.7355,662598000,76208400,882,0
1.7388,662770800,76381200,884,0
1.7412,662857200,76467600,885,0
1.7498,662943600,76554000,886,0
1.7595,663202800,76813200,889,0
1.7595,663289200,76899600,890,0
1.7525,663375600,76986000,891,0
1.7568,663462000,77072400,892,0
1.7585,663548400,77158800,893,0
1.7637,663807600,77418000,896,0
